folio,codigo_producto,descripcion,precio,cantidad,total,tipo_transaccion,fecha
1125,703102912177,LECHE EN POLVO 400G,4790,1,4790,VENTA,2023-05-12 19:41:15.048733927
1126,778115056522,ADAPTADOR HDMI-VGA,1463,1,490,VENTA,2023-07-29 02:06:34.248070396
1127,703377007955,GEL ALCOHÓLICO 100ML,2170,2,3580,VENTA,2023-11-24 09:06:02.777987980
1127,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,2,8000,VENTA,2023-01-08 00:02:35.213027653
1128,743543068824,CARGADOR USB 2.4A,2272,2,1600,VENTA,2023-05-02 17:41:33.856034995
1128,715902139323,BARRA DE CEREAL 30G,2540,1,990,VENTA,2023-08-27 18:53:26.561241346
1129,703377007955,GEL ALCOHÓLICO 100ML,2170,1,1500,VENTA,2023-11-02 15:31:18.430638795
1130,769620372572,CHOCOLATE NESTLE 45G,1768,2,580,VENTA,2023-09-23 20:42:37.981550080
1130,759743227841,CABLE USB 1MT,3563,2,6180,VENTA,2023-10-17 14:44:41.175674071
1130,769620372572,CHOCOLATE NESTLE 45G,1768,1,500,VENTA,2023-08-07 22:07:24.474443012
1131,703377007955,GEL ALCOHÓLICO 100ML,2170,1,3700,VENTA,2023-01-08 21:06:41.263105183
1131,731342889773,CABLE JACK 3.5MM 1MT,1195,1,590,VENTA,2023-02-23 03:10:29.165184184
1131,778115056522,ADAPTADOR HDMI-VGA,1463,1,490,VENTA,2023-01-25 01:37:11.026866087
1132,769620372572,CHOCOLATE NESTLE 45G,1768,1,4390,VENTA,2023-07-10 17:37:07.117109686
1133,778115056522,ADAPTADOR HDMI-VGA,1463,1,1000,VENTA,2023-11-26 00:17:08.379207693
1134,737328112719,PALITOS SALADOS 100G,2990,1,2990,VENTA,2023-08-23 20:04:28.718951695
1134,715073335721,DETERGENTE ARIEL 500G,2000,1,2600,VENTA,2023-05-05 09:04:09.687975613
1134,715902139323,BARRA DE CEREAL 30G,2540,1,990,VENTA,2023-10-29 04:23:49.882358160
1135,703377007955,GEL ALCOHÓLICO 100ML,2170,1,1500,VENTA,2023-05-19 19:54:23.895828798
1135,769620372572,CHOCOLATE NESTLE 45G,1768,2,1000,VENTA,2023-07-12 02:45:09.270950710
1135,759743227841,CABLE USB 1MT,3563,2,4000,VENTA,2023-05-18 16:13:02.038057069
1136,769620372572,CHOCOLATE NESTLE 45G,1768,2,3780,VENTA,2023-05-27 07:33:34.926494422
1137,753061660635,GOMA DE MASCAR 5UN,1895,1,790,VENTA,2023-10-03 06:36:57.654388884
1137,753061660635,GOMA DE MASCAR 5UN,1895,2,1580,VENTA,2023-10-13 03:21:13.468409755
1138,703102912177,LECHE EN POLVO 400G,4790,2,9580,VENTA,2023-09-10 19:27:50.538443833
1138,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,4000,VENTA,2023-07-01 17:29:42.936386066
1138,769771202578,AGUA MINERAL 500ML,300,2,600,VENTA,2023-08-17 02:12:54.381108882
1139,757114722560,PASTEL DE MANJAR 80G,2990,2,5980,VENTA,2023-10-17 21:06:06.905682027
1140,703377007955,GEL ALCOHÓLICO 100ML,2170,1,1500,VENTA,2023-01-25 03:43:24.553778635
1140,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,9600,VENTA,2023-06-16 12:42:54.089998973
1140,731342889773,CABLE JACK 3.5MM 1MT,1195,2,3600,VENTA,2023-07-06 15:36:22.920595715
1141,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,2,3180,VENTA,2023-04-23 16:28:48.832364007
1142,778115056522,ADAPTADOR HDMI-VGA,1463,1,1000,VENTA,2023-10-27 22:21:05.654982600
1142,743752337768,BEBIDA COCA COLA 500ML,2800,1,5100,VENTA,2023-05-31 20:17:14.978917233
1142,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-01-23 15:05:54.268387715
1143,792379607791,PASTA DIENTES COLGATE 90ML,1795,2,380,VENTA,2023-04-01 22:58:51.126225373
1143,723750230102,VELA AROMÁTICA,4000,2,8000,VENTA,2023-01-19 22:32:19.584368045
1143,707037023369,MEMORIA SD 32GB,3300,1,2700,VENTA,2023-06-18 06:51:08.801043988
1144,715902139323,BARRA DE CEREAL 30G,2540,2,8180,VENTA,2023-10-25 00:04:43.426437751
1144,759743227841,CABLE USB 1MT,3563,2,4000,VENTA,2023-07-22 17:05:35.961627872
1144,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-08-11 06:50:18.147546808
1145,757114722560,PASTEL DE MANJAR 80G,2990,2,5980,VENTA,2023-06-21 12:49:35.763571453
1146,777858530950,GALLETA MARIA 200G,2600,2,5200,VENTA,2023-07-01 12:37:41.277909484
1146,731342889773,CABLE JACK 3.5MM 1MT,1195,1,1800,VENTA,2023-06-06 18:33:59.829819730
1146,715902139323,BARRA DE CEREAL 30G,2540,1,990,VENTA,2023-07-09 23:44:55.054459102
1147,743543068824,CARGADOR USB 2.4A,2272,2,8600,VENTA,2023-06-03 15:10:55.629680194
1147,769620372572,CHOCOLATE NESTLE 45G,1768,1,1890,VENTA,2023-10-19 21:14:41.418224469
1148,757114722560,PASTEL DE MANJAR 80G,2990,2,5980,VENTA,2023-07-01 05:00:00.358399889
1148,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,3190,VENTA,2023-09-16 03:08:53.602448812
1149,703377007955,GEL ALCOHÓLICO 100ML,2170,2,3000,VENTA,2023-07-30 03:18:07.603593003
1150,715073335721,DETERGENTE ARIEL 500G,2000,1,2600,VENTA,2023-03-28 11:18:11.375146427
1150,715902139323,BARRA DE CEREAL 30G,2540,1,990,VENTA,2023-12-10 16:18:01.565490013
1151,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-10-21 06:00:14.521759136
1152,723241178329,SUAVIZANTE AYUDIN 500ML,1900,2,3800,VENTA,2023-03-28 20:14:22.458620767
1153,707037023369,MEMORIA SD 32GB,3300,1,3900,VENTA,2023-06-17 01:50:46.992424707
1154,799839285278,CAFÉ INSTANTÁNEO 10G,3397,1,1490,VENTA,2023-04-27 22:59:29.717358590
1155,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-12-13 13:24:42.905751119
1155,799839285278,CAFÉ INSTANTÁNEO 10G,3397,1,3900,VENTA,2023-12-26 19:03:09.200595202
1155,759743227841,CABLE USB 1MT,3563,1,3090,VENTA,2023-02-21 05:32:41.827965139
1156,753619764384,PARAGUAS TRANSPARENTE,800,2,1600,VENTA,2023-10-06 14:17:09.354486668
1157,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,1590,VENTA,2023-05-09 16:34:03.225864448
1158,731342889773,CABLE JACK 3.5MM 1MT,1195,2,1180,VENTA,2023-07-03 09:55:15.995329751
1158,707037023369,MEMORIA SD 32GB,3300,2,7800,VENTA,2023-06-05 18:09:52.263609807
1159,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,4000,VENTA,2023-09-19 02:03:10.785924550
1160,715073335721,DETERGENTE ARIEL 500G,2000,2,5200,VENTA,2023-06-09 23:43:56.484825491
1160,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,2980,VENTA,2023-07-01 22:29:28.026362386
1161,769620372572,CHOCOLATE NESTLE 45G,1768,1,500,VENTA,2023-05-23 11:10:17.983862185
1162,778115056522,ADAPTADOR HDMI-VGA,1463,2,980,VENTA,2023-05-24 18:21:40.417033476
1162,743543068824,CARGADOR USB 2.4A,2272,2,8600,VENTA,2023-04-06 09:02:52.796525876
1163,757114722560,PASTEL DE MANJAR 80G,2990,2,5980,VENTA,2023-05-16 22:09:00.718961430
1163,769620372572,CHOCOLATE NESTLE 45G,1768,2,1000,VENTA,2023-08-04 11:48:52.961065930
1163,715073335721,DETERGENTE ARIEL 500G,2000,1,2600,VENTA,2023-10-30 22:28:24.548012143
1164,778115056522,ADAPTADOR HDMI-VGA,1463,1,2900,VENTA,2023-09-24 03:33:36.821623931
1164,703102912177,LECHE EN POLVO 400G,4790,1,4790,VENTA,2023-12-28 08:05:15.412587311
1165,778115056522,ADAPTADOR HDMI-VGA,1463,1,1000,VENTA,2023-01-27 01:07:59.848332421
1165,743752337768,BEBIDA COCA COLA 500ML,2800,1,500,VENTA,2023-10-13 15:21:00.752229770
1166,753619764384,PARAGUAS TRANSPARENTE,800,2,1600,VENTA,2023-10-28 16:44:00.291465041
1166,757114722560,PASTEL DE MANJAR 80G,2990,2,5980,VENTA,2023-08-04 01:37:03.365108229
1166,716447097258,CHIPS DE PAPA 35G,3490,2,6980,VENTA,2023-07-08 10:40:43.623703659
1167,743752337768,BEBIDA COCA COLA 500ML,2800,2,1000,VENTA,2023-04-08 11:47:34.016051523
1167,778115056522,ADAPTADOR HDMI-VGA,1463,2,5800,VENTA,2023-10-22 04:10:41.524300053
1167,703377007955,GEL ALCOHÓLICO 100ML,2170,1,1790,VENTA,2023-10-18 18:01:57.351690942
1168,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,3190,VENTA,2023-01-08 15:17:40.612397754
1169,703377007955,GEL ALCOHÓLICO 100ML,2170,1,1690,VENTA,2023-10-26 22:58:55.893542289
1169,743543068824,CARGADOR USB 2.4A,2272,2,8600,VENTA,2023-02-14 22:29:52.900676573
1169,769620372572,CHOCOLATE NESTLE 45G,1768,1,290,VENTA,2023-05-04 00:46:18.045702025
1170,715073335721,DETERGENTE ARIEL 500G,2000,1,1400,VENTA,2023-10-18 08:15:35.314622713
1171,723750230102,VELA AROMÁTICA,4000,2,8000,VENTA,2023-07-07 23:55:20.421244142
1172,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,9600,VENTA,2023-03-16 11:09:04.962490388
1172,799839285278,CAFÉ INSTANTÁNEO 10G,3397,1,1490,VENTA,2023-01-30 08:40:43.295158521
1172,769620372572,CHOCOLATE NESTLE 45G,1768,2,1000,VENTA,2023-02-06 17:35:23.308466314
1173,723241178329,SUAVIZANTE AYUDIN 500ML,1900,2,3800,VENTA,2023-10-02 14:07:26.550295752
1173,715073335721,DETERGENTE ARIEL 500G,2000,1,2600,VENTA,2023-04-03 14:29:44.090410283
1174,743543068824,CARGADOR USB 2.4A,2272,2,1600,VENTA,2023-09-26 04:26:52.152209208
1174,703377007955,GEL ALCOHÓLICO 100ML,2170,2,7400,VENTA,2023-01-25 23:17:03.849368516
1175,743543068824,CARGADOR USB 2.4A,2272,1,4300,VENTA,2023-11-02 13:05:18.560852932
1175,778115056522,ADAPTADOR HDMI-VGA,1463,1,2900,VENTA,2023-03-02 11:25:45.248330655
1176,716447097258,CHIPS DE PAPA 35G,3490,2,6980,VENTA,2023-02-03 08:56:30.753769127
1176,715073335721,DETERGENTE ARIEL 500G,2000,1,1400,VENTA,2023-04-30 20:51:55.560078817
1176,716447097258,CHIPS DE PAPA 35G,3490,1,3490,VENTA,2023-01-02 16:11:37.278969123
1177,743752337768,BEBIDA COCA COLA 500ML,2800,2,10200,VENTA,2023-05-26 06:58:23.753520883
1177,753061660635,GOMA DE MASCAR 5UN,1895,1,790,VENTA,2023-12-23 20:53:33.122608793
1177,703102912177,LECHE EN POLVO 400G,4790,1,4790,VENTA,2023-01-12 09:55:20.413641403
1178,778115056522,ADAPTADOR HDMI-VGA,1463,2,5800,VENTA,2023-02-26 01:23:22.300503892
1178,715073335721,DETERGENTE ARIEL 500G,2000,2,5200,VENTA,2023-03-16 00:38:07.381232524
1178,757114722560,PASTEL DE MANJAR 80G,2990,1,2990,VENTA,2023-09-06 16:08:20.194210175
1179,743752337768,BEBIDA COCA COLA 500ML,2800,2,10200,VENTA,2023-03-16 08:03:32.090305673
1180,759743227841,CABLE USB 1MT,3563,2,6180,VENTA,2023-11-05 04:41:27.003846325
1181,769620372572,CHOCOLATE NESTLE 45G,1768,2,8780,VENTA,2023-10-26 21:33:40.730254847
1182,778115056522,ADAPTADOR HDMI-VGA,1463,2,980,VENTA,2023-05-23 13:58:43.953676352
1182,724030223967,ALCOHOL GEL 100ML,3095,2,6000,VENTA,2023-06-21 06:11:18.931446013
1183,703377007955,GEL ALCOHÓLICO 100ML,2170,1,1690,VENTA,2023-03-08 08:13:30.669140377
1184,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-02-10 00:40:11.894925917
1184,769620372572,CHOCOLATE NESTLE 45G,1768,1,4390,VENTA,2023-08-31 15:23:55.128796595
1184,778115056522,ADAPTADOR HDMI-VGA,1463,2,2000,VENTA,2023-02-06 10:16:43.431339609
1185,707037023369,MEMORIA SD 32GB,3300,2,7800,VENTA,2023-11-01 07:38:52.140726528
1186,753061660635,GOMA DE MASCAR 5UN,1895,1,3000,VENTA,2023-04-08 01:36:53.620746638
1187,707037023369,MEMORIA SD 32GB,3300,2,5400,VENTA,2023-12-13 03:58:12.020348183
1188,792379607791,PASTA DIENTES COLGATE 90ML,1795,1,190,VENTA,2023-02-24 06:50:01.601420328
1189,799839285278,CAFÉ INSTANTÁNEO 10G,3397,1,3900,VENTA,2023-05-14 13:09:57.756633833
1190,778115056522,ADAPTADOR HDMI-VGA,1463,2,5800,VENTA,2023-09-23 10:21:14.643340606
1190,743752337768,BEBIDA COCA COLA 500ML,2800,1,500,VENTA,2023-01-03 00:44:20.636975812
1191,769620372572,CHOCOLATE NESTLE 45G,1768,2,8780,VENTA,2023-01-28 01:49:33.232856749
1191,716447097258,CHIPS DE PAPA 35G,3490,1,3490,VENTA,2023-08-07 23:46:27.161659502
1191,792379607791,PASTA DIENTES COLGATE 90ML,1795,1,190,VENTA,2023-01-27 20:57:33.156479284
1192,778115056522,ADAPTADOR HDMI-VGA,1463,2,5800,VENTA,2023-08-24 23:35:31.097117623
1193,707037023369,MEMORIA SD 32GB,3300,1,3900,VENTA,2023-12-07 18:16:38.614961585
1194,757114722560,PASTEL DE MANJAR 80G,2990,2,5980,VENTA,2023-10-07 08:34:44.438706946
1194,715902139323,BARRA DE CEREAL 30G,2540,2,1980,VENTA,2023-07-02 12:14:24.371778689
1195,759743227841,CABLE USB 1MT,3563,1,3090,VENTA,2023-05-17 04:59:58.898540302
1195,778582867497,GOMA DE MASCAR FRUTILLA 5UN,5300,1,5300,VENTA,2023-01-06 01:08:21.758774564
1195,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-08-20 12:37:58.748211822
1196,715073335721,DETERGENTE ARIEL 500G,2000,1,2600,VENTA,2023-03-20 08:15:20.591210882
1197,724030223967,ALCOHOL GEL 100ML,3095,2,6380,VENTA,2023-05-13 01:01:36.472190956
1197,707037023369,MEMORIA SD 32GB,3300,1,3900,VENTA,2023-12-28 15:13:50.117003726
1197,703377007955,GEL ALCOHÓLICO 100ML,2170,2,7400,VENTA,2023-12-25 05:33:01.629997267
1198,743543068824,CARGADOR USB 2.4A,2272,1,4300,VENTA,2023-02-01 10:28:23.386331590
1198,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-01-31 08:50:24.181749931
1199,743543068824,CARGADOR USB 2.4A,2272,2,1600,VENTA,2023-11-07 20:43:20.569460578
